,precision,recall,f1-score,support
rRNA,1.0,1.0,1.0,325.0
sRNA,0.6666666666666666,0.6890756302521008,0.6776859504132231,119.0
Cis-reg,0.8246753246753247,0.7514792899408284,0.7863777089783281,169.0
tRNA,0.819672131147541,1.0,0.9009009009009009,50.0
accuracy,0.8808446455505279,0.8808446455505279,0.8808446455505279,0.8808446455505279
macro avg,0.827753530622383,0.8601387300482323,0.8412411400731131,663.0
weighted avg,0.8818809498655206,0.8808446455505279,0.8802224825966155,663.0
