,precision,recall,f1-score,support
rRNA,1.0,0.9938461538461538,0.9969135802469136,325.0
sRNA,0.5930232558139535,0.8571428571428571,0.7010309278350515,119.0
Cis-reg,0.8706896551724138,0.5976331360946746,0.7087719298245614,169.0
tRNA,0.9615384615384616,1.0,0.9803921568627451,50.0
accuracy,0.8687782805429864,0.8687782805429864,0.8687782805429864,0.8687782805429864
macro avg,0.8563128431312073,0.8621555367709214,0.8467771486923179,663.0
weighted avg,0.8910908631114954,0.8687782805429864,0.8691126062988026,663.0
