,precision,recall,f1-score,support
rRNA,1.0,0.9538461538461539,0.9763779527559054,325.0
sRNA,0.656441717791411,0.8991596638655462,0.7588652482269502,119.0
Cis-reg,0.8115942028985508,0.6627218934911243,0.7296416938110749,169.0
tRNA,0.9615384615384616,1.0,0.9803921568627451,50.0
accuracy,0.8733031674208145,0.8733031674208145,0.8733031674208145,0.8733031674208145
macro avg,0.8573935955571059,0.8789319278007062,0.8613192629141689,663.0
weighted avg,0.8874101173212007,0.8733031674208145,0.8747463850405509,663.0
